group;party;name
fraktionslos;['SSW', 'AfD', 'Bündnis 90/GRÜNE', 'GRÜNE', 'BÜNDNIS 90/DIE GRÜNEN', 'DIE GRÜNEN/BÜNDNIS 90', 'PDS', 'DIE LINKE.'];['fraktionslos', 'Fraktionslos']
AfD;['AfD'];['AfD']
DIE LINKE;['PDS', 'PDS/LL', 'DIE LINKE.'];['DIE LINKE']
PDS;['PDS', 'PDS/LL', 'DIE LINKE.'];['PDS']
PDS/Linke Liste;['PDS', 'PDS/LL', 'DIE LINKE.'];['PDS/Linke Liste']
BÜNDNIS 90/DIE GRÜNEN;['BÜNDNIS 90/DIE GRÜNEN', 'GRÜNE', 'DIE GRÜNEN/BÜNDNIS 90'];['BÜNDNIS 90/DIE GRÜNEN', 'Bündnis 90/GRÜNE', 'BÜNDNIS 90/ DIE GRÜNEN']
GRÜNE;['BÜNDNIS 90/DIE GRÜNEN', 'GRÜNE', 'DIE GRÜNEN/BÜNDNIS 90'];['GRÜNE']
FDP;['FDP'];['FDP', 'F.D.P.']
SPD;['SPD'];['SPD']
CDU/CSU;['CDU', 'CSU', 'CSUS', 'CVP', 'DSU'];['CDU', 'CSU', 'CSUS', 'CVP', 'CDU/CSU', 'CDU/ CSU', 'CDU/CSU/DSU']
DP;['DP'];['DP']
DP/FVP;['DP', 'FVP'];['DP [FVP]']
FU;['FU', 'Z', 'BP'];['FU']
Z;['DZP', 'Z'];['Z']
WAV;['WAV'];['WAV']
KPD;['KPD'];['KPD']
NR;['NR'];['NR']
GB/BHE;['GB/BHE', 'GB/ BHE'];['GB/BHE']
BP;['BP'];['BP']
