qid,family_name
Q61250,Bangemann
Q2543532,Bargatzky
Q104572,Bocklet
Q1744952,Bölling
Q1734937,Claussen
Q84581,Dreyer
Q62279,Engholm
Q1169676,Ernst
Q2544537,Grund
Q15432040,Gumbel
Q2645108,Hartmann
Q1731618,Herz
Q107360,Hirsch
Q2531479,Hopf
Q1893046,Huber
Q813145,Hübner
Q1874646,Kattenstroth
Q2512,Kiesinger
Q159913,Kinkel
Q65128,Künast
Q69133,Lahnstein
Q71369,Lauritzen
Q993550,Merk
Q2141511,Robbe
Q1914072,Sauerborn
Q69677,Schmidt
Q97644,Schreckenberger
Q215756,Schütz
Q1591186,Seiermann
Q65515,Simonis
Q62214,Stoltenberg
Q66286,Süssmuth
Q77391,Tillich
Q62889,Töpfer
Q60772,von der Leyen
Q1729788,von Hase
Q60440254,von Manger-Koenig
Q552483,Vogel
Q65542,Blank
Q85846,Weber
Q1604393,Becker
Q60781,Schröder
Q1222818,Schulte
Q2582265,Wimmer
Q1604190,Schäfer
Q2591659,Vogt
Q69098,Lücke
Q486035,Franke
Q44212668,Becker
