mdb_id,gnd,qid,full_name,multi_role
11005289,1240702027,Q110421439,Clara Bünger,False
11005273,,Q108706759,Claudia Raffelhüschen,False
11005268,,Q108760646,Katrin Zschau,False
11005267,,Q108708654,Armand Zorn,False
11005266,,Q108760623,Nicolas Zippelius,False
11005265,,Q108760602,Kay-Uwe Ziegler,False
11005264,1154729230,Q1690600,Joachim Wundrak,False
11005263,,Q41569156,Mareike Lotte Wulf,False
11005262,,Q108733445,Herbert Wollmann,False
11005261,1049865898,Q15834662,Mechthilde Wittmann,False
11005260,1078161089,Q1682774,Janine Wissler,False
11005259,1276237715,Q108760551,Tina Winklmann,False
11005258,124425018X,Q108662794,Tobias Winkler,False
11005257,170947041,Q108706345,Klaus Wiener,False
11005256,,Q108756661,Lena Werner,False
11005255,1035166003,Q111649,Stefan Wenzel,False
11005254,,Q108708651,Maria-Lena Weiss,False
11005253,,Q108726254,Saskia Weishaupt,False
11005252,,Q108760515,Melanie Wegling,False
11005251,1161768327,Q108705715,Carmen Wegge,False
11005250,,Q108760497,Hannes Walter,False
11005249,,Q108731286,Maja Wallstein,False
11005248,,Q108705953,Johannes Wagner,False
11005247,1254967222,Q108760467,Carolin Wagner,False
11005246,1065321341,Q108760426,Robin Wagener,False
11005245,,Q108710143,Niklas Wagener,False
11005244,,Q108760384,Oliver Vogt,False
11005243,141434740,Q62639,Frank Ullrich,False
11005242,,Q108704531,Katrin Uhlig,False
11005241,,Q108733123,Derya Türk-Nachbaur,False
11005240,,Q108760347,Anja Troff-Schaffarzyk,False
11005239,,Q1986012,Nico Tippelt,False
11005238,1259750973,Q98739468,Jens Teutrine,False
11005237,,Q108177929,Awet Tesfaiesus,False
11005236,,Q108760222,Ruppert Stüwe,False
11005235,1241976449,Q108702403,Christina Stumpp,False
11005234,,Q108760192,Konrad Stockmeier,False
11005233,,Q108705694,Diana Stöcker,False
11005232,1241960895,Q108760170,Klaus Stöber,False
11005231,,Q108738347,Nadja Sthamer,False
11005230,,Q108705697,Hanna Steinmüller,False
11005229,143579118,Q89578,Ralf Stegner,False
11005228,128955570,Q2433467,Till Steffen,False
11005227,1241274312,Q40229624,Nina Stahr,False
11005226,,Q108718220,Merle Spellerberg,False
11005225,,Q102180722,Anne Monika Spallek,False
11005224,,Q108705294,Nyke Slawik,False
11005223,,Q108758123,Rainer Semet,False
11005222,125975118X,Q108705691,Melis Sekmen,False
11005221,1229268022,Q108731005,Lina Seitzl,False
11005220,115651381,Q108705784,Stephan Seiter,False
11005219,1241976287,Q108704318,Stefan Seidler,False
11005218,1194394914,Q688234,Armin Schwarz,False
11005217,142951315,Q1407342,Svenja Schulze,False
11005216,,Q108758116,Anja Schulz,False
11005215,1256387304,Q53537282,Ria Schröder,False
11005214,,Q107305013,Christina-Johanne Schröder,False
11005213,,Q108758105,Christian Schreider,False
11005212,1251283500,Q108736990,Marlene Schönberger,False
11005211,,Q108758092,Daniel Schneider,False
11005210,,Q23565778,Jan Wenzel Schmidt,False
11005209,,Q108758075,Eugen Schmidt,False
11005208,,Q58335148,Christoph Schmid,False
11005207,1276237731,Q108703301,Timo Schisanowski,False
11005206,,Q108758050,Peggy Schierenbeck,False
11005205,110293867X,Q67796852,Christiane Schenderlein,False
11005204,,Q108758038,Johannes Schätzl,False
11005203,,Q108757996,Bernd Schattner,False
11005202,,Q108571846,Rebecca Schamber,False
11005201,1036767620,Q108757983,Sebastian Schäfer,False
11005200,1183818378,Q21286329,Jamila Schäfer,False
11005199,,Q108746963,Ingo Schäfer,False
11005198,,Q108754086,Catarina dos Santos Firnhaber,False
11005197,1244317446,Q108726839,Kassem Taher Saleh,False
11005195,1177903822,Q108757947,Tina Rudolph,False
11005194,1276237758,Q108757956,Thorsten Rudolph,False
11005193,122288726,Q1263794,Thomas Röwekamp,False
11005192,1224736850,Q102442505,Jessica Rosenthal,False
11005191,,Q108757939,Sebastian Roloff,False
