period,protocol_number,last_name,first_name,group,party,function,function_group,politician_id,speech_name_data,generated_id,GND,QID
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Merkel,Angela,,CDU,Bundeskanzlerin,Bundesregierung,11001478,"Dr. Angela Merkel, Bundeskanzlerin:",,119545373,Q567
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Dreyer,Malu,,,Ministerpräsidentin (Rheinland-Pfalz),Bundesrat,,"Malu Dreyer, Ministerpräsidentin (Rheinland-Pfalz):",1,133927288,Q84581
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Döring,Patrick,FDP,FDP,Abgeordnete:r,Abgeordnete:r,11003748,Patrick Döring (FDP):,,1034707167,Q99427
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Kipping,Katja,DIE LINKE,DIE LINKE.,Abgeordnete:r,Abgeordnete:r,11003786,Katja Kipping (DIE LINKE):,,137525443,Q76342
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Tillich,Stanislaw,,,Ministerpräsident (Sachsen),Bundesrat,,"Stanislaw Tillich, Ministerpräsident (Sachsen):",2,138599092,Q77391
17,248,Lammert,Norbert,,CDU,Präsident,Sitzungsvorstand,11001274,Präsident Dr. Norbert Lammert:,,118003674,Q57474
17,248,Göring-Eckardt,Katrin,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,Abgeordnete:r,Abgeordnete:r,11003132,"Katrin Göring-Eckardt (BÜNDNIS 90/DIE GRÜ-
NEN):",,132406322,Q48967
17,248,Oswald,Eduard,,CSU,Vizepräsident,Sitzungsvorstand,11001663,Vizepräsident Eduard Oswald:,,120265923,Q71364
17,248,Göring-Eckardt,Katrin,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,Abgeordnete:r,Abgeordnete:r,11003132,"Katrin Göring-Eckardt (BÜNDNIS 90/DIE GRÜ-
NEN):",,132406322,Q48967
